,0
0,alabama
1,alaska
2,arizona
3,arkansas
4,connecticut
5,delaware
6,georgia
7,hawaii
8,idaho
9,illinois
10,indiana
11,iowa
12,kansas
13,kentucky
14,louisiana
15,maine
16,maryland
17,massachusetts
18,michigan
19,minnesota
20,mississippi
21,missouri
22,montana
23,nebraska
24,nevada
25,new hampshire
26,new jersey
27,new mexico
28,north carolina
29,north dakota
30,oklahoma
31,oregon
32,pennsylvania
33,rhode island
34,south carolina
35,south dakota
36,tennessee
37,utah
38,vermont
39,virginia
40,washington
41,west virginia
42,wisconsin
43,wyoming
